Task,Sub Tasks Checklist,Managers,Track,Strategic Goal,Departments,Quarters,Start Date,End Date,Budget,Income
In Progress,,,,,,,,,35000,937500
Begin Public Relation Strategy,"тАЛ
### Checklist for Forming Relationships with News Outlets
#### 1. Research and Identification
* [ ] **Research Analyst:тАЛ**
#### 2. Initial Outreach
* [ ] **Outreach Coordinator:тАЛ**
#### 3. Building Relationships
* [ ] **Public Relations Manager:тАЛ**
#### 4. Content Preparation
* [ ] **Content Writer:тАЛ**
- [ ] **Graphic Designer:тАЛ**
#### 5. Pitching Stories
* [ ] **Media Relations Specialist:тАЛ**
#### 6. Follow-up and Engagement
* [ ] **Follow-up Coordinator:тАЛ**
#### 7. Providing Value
* [ ] **Industry Expert/Spokesperson:тАЛ**
#### 8. Monitoring and Tracking
* [ ] **Media Monitoring Specialist:тАЛ**
#### 9. Crisis Management
* [ ] **Crisis Communications Manager:тАЛ**
#### 10. Continuous Relationship Building
* [ ] **Relationship Manager:тАЛ**
#### Example Checklist for a Single News Outlet
**Outlet: Disc Golf Monthly**
1. **Research and Identification:тАЛ**
   * Identify key journalists: John Doe (Sports Editor), Jane Smith (Feature Writer).
   * Compile contact details and LinkedIn profiles.
2. **Initial Outreach:тАЛ**
   * Draft and send introductory email to John Doe and Jane Smith.
   * Follow up with a phone call to introduce the brand and schedule a meeting.
3. **Building Relationships:тАЛ**
   * Schedule a virtual coffee chat with John Doe.
   * Engage with Jane SmithтАЩs articles on social media.
4. **Content Preparation:тАЛ**
   * Create a press release about the appтАЩs new feature.
   * Design an infographic showcasing user statistics.
5. **Pitching Stories:тАЛ**
   * Send a personalized pitch to John Doe highlighting the appтАЩs impact on player performance.
   * Offer an exclusive interview with the appтАЩs founder to Jane Smith.
6. **Follow-up and Engagement:тАЛ**
   * Send a follow-up email one week after the initial pitch.
   * Comment on John DoeтАЩs recent article about disc golf trends.
7. **Providing Value:тАЛ**
   * Offer John Doe an exclusive first look at the appтАЩs upcoming update.
   * Provide Jane Smith with expert insights on the latest disc golf statistics.
8. **Monitoring and Tracking:тАЛ**
   * Track mentions of the app in Disc Golf Monthly.
   * Update the media interaction database with outcomes from pitches.
9. **Crisis Management:тАЛ**
   * Prepare a statement addressing any potential issues with the app.
   * Ensure John Doe and Jane Smith receive the statement promptly.
10. **Continuous Relationship Building:тАЛ**
    * Send a thank-you note to John Doe and Jane Smith after coverage.
    * Invite them to the appтАЩs next product launch event.",Publicist,Phase 1,Company Growth,Publicist,Q3,9/28/2024,10/26/2024,$0.00,$0.00
Udisc Contact,"##### **Udisc Contact**
* [ ] yes
- [x] no",Andrew Panza,Phase 1,Brand Awareness,Operations,Q3,9/19/2024,10/23/2024,$0.00,$0.00
Finalize current sponsor list and continue to close sponsors,"тАЛ
### Checklist for Finalizing and Closing Sponsors
1. **Finalize Current Sponsors:тАЛ**
   * Compile and confirm the current sponsor list.
   * Ensure all agreements are signed.
   * Confirm deliverables and recognition plans.
   * Maintain regular communication and seek feedback.
2. **Close New Sponsors:тАЛ**
   * Identify and research potential sponsors.
   * Develop tailored sponsorship packages.
   * Craft and send personalized pitches.
   * Schedule and conduct meetings.
   * Negotiate terms and close deals.
   * Onboard new sponsors and integrate them into event planning.","Andrew Panza, Kimberly Martinez",Phase 1,Managerial Tasks,"Operations, Sales",Q3,9/26/2024,11/1/2024,$0.00,$0.00
Apparel and shopping cart added to the website,Set up weekly meeting with Robert,"Dustin Dinsmore, Robert",Phase 1,Revenue,"Technical, Technical",Q3,9/26/2024,11/7/2024,"$15,000.00","$50,000.00"
Sigh up Sponsors,"##### **Finalize Current Sponsors:тАЛ**
* [ ] Compile and confirm the current sponsor list.
- [ ] Ensure all agreements are signed.
* [ ] Confirm deliverables and recognition plans.
- [ ] Maintain regular communication and seek feedback.
##### **Close New Sponsors:тАЛ**
* [ ] Identify and research potential sponsors.
- [ ] Develop tailored sponsorship packages.
* [ ] Craft and send personalized pitches.
- [ ] Schedule and conduct meetings.
* [ ] Negotiate terms and close deals.
- [ ] Onboard new sponsors and integrate them into event planning.",Kimberly Martinez,Phase 1,Revenue,Sales,Q3,9/26/2024,12/12/2024,$0.00,"$200,000.00"
Payment 1,"* [ ] Get Schedule
- [ ] Provide terms
* [ ] Accept terms",Andrew Panza,Phase 1,Revenue,Operations,Q3,9/26/2024,10/26/2024,$0.00,"$687,500.00"
Final Players are signed on letters of intent,Work with Andrew and Dustin to finalize list,"Dustin Dinsmore, Andrew Panza, Corey La Russo",Phase 2,Company Growth,"Technical, Operations, Marketing and PR",Q3,8/9/2024,10/12/2024,"$20,000.00",$0.00
Tournament schedule is announced,,Product Dev Team,Phase 2,Company Growth,Product Development,Q3,9/30/2024,11/3/2024,$0.00,$0.00
Sizzle Reel,"* [ ] Include FLI Marching theme song
- [ ] Short
* [ ] Long
- [ ] Exciting
* [ ] Dull / Exciting","Andrew Panza, Jim Neely, Product Dev Team, Kimberly Martinez",Phase 1,Company Growth,"Operations, Production, Product Development, Sales",Q4,8/29/2024,10/22/2024,,
Scheduled,,,,,,,,,546500,20000
Set up accounting,"* [ ] Company name
- [ ] Contact info
* [ ] Date onboaded",Alexander Smart,Overall,Increase Revenue,Finance,Q3,7/1/2024,8/9/2024,$200.00,$0.00
Set up commercial or live promo reel,"##### **Timeframe**
* [ ] Agreed on a start end date
##### **Tee Box Plan**
* [ ] Box A Large
- [ ] Box B Mini
##### **Target Plan**
* [ ] What baskets do we use
##### **Hole Plan**
* [ ] Netting
- [ ] Fencing
##### **Camara Plan how many?тАЛ**
* [ ] 4
- [ ] 6
* [ ] 8
##### **Shots Plan types od sense**
* [ ] Tee Shots
- [ ] Mid Range
* [ ] Putts
- [ ] Rollers",Product Dev Team,Overall,Brand Awareness,Product Development,Q3,7/1/2024,8/14/2024,$0.00,$0.00
Two press releases a month,"* [ ] Marketing
- [ ] Publisist
* [ ] News",Publicist,Overall,Brand Awareness,Publicist,Q3,9/21/2024,11/5/2024,$0.00,$0.00
Internal cost process analysis,"##### **Use Budget**
* [ ] keep track of expenses",Alexander Smart,Phase 1,Increase Revenue,Finance,Q3,9/21/2024,10/29/2024,$0.00,$0.00
Analyze trends,"##### **Track Player Rankings**
* [ ] Maintain a list of Pros to sign
- [ ] Udisc plan",Publicist,Overall,Increase Revenue,Publicist,Q3,7/1/2024,8/9/2024,$200.00,$0.00
New sales strategy,"##### **In house selling**
* [ ] Kimberly
- [ ] Andrew
* [ ] Corey
- [ ] Gary
* [ ] Script",Catapult,Phase 1,Increase Revenue,Sales,Q3,7/1/2024,8/10/2024,$0.00,$0.00
Build App Plan,"Provide working parts for:
* [x] Scoring
- [x] Drafting
* [ ] Fantasy Scoring
- [ ] Wire up scoring with the pro
* [ ] Save historical data for all FLI events
- [ ] Refine Roles for users
* [ ] Provide instruction manual",Dustin Dinsmore,Phase 1,App,Technical,Q3,7/1/2024,7/30/2024,"$50,000.00",$0.00
Chicken Ranch Meetings / Update,"##### **Next step meeting**
* [ ] confirmed
- [ ] November 9th","Gary Santos, Andrew Panza",Overall,Increase Revenue,"Consultant, Operations",Q3,7/29/2024,8/26/2024,"$1,500.00",$0.00
Outfront go yo market,"тАЛ
### Billboard Marketing Campaign Checklist
#### 1. Planning Phase
* **Define Objectives:тАЛ**
  * Identify the primary goals of the campaign (e.g., brand awareness, product launch, event promotion).
  * Set specific, measurable, achievable, relevant, and time-bound (SMART) objectives.
* **Research and Budgeting:тАЛ**
  * Research target audience demographics and locations.
  * Determine the budget for the billboard campaign.
  * Identify key performance indicators (KPIs) to measure success.
* **Location Selection:тАЛ**
  * Identify high-traffic areas that match your target audienceтАЩs habits and movements.
  * Research and select specific billboard locations.
  * Obtain availability and pricing information for selected locations.
#### 2. Creative Development
* **Message and Design:тАЛ**
  * Develop a clear and concise message that aligns with your campaign objectives.
  * Design the billboard to be visually appealing and easy to read from a distance.
  * Ensure the design includes your logo, brand colors, and a call to action.
* **Compliance:тАЛ**
  * Ensure the design complies with local regulations and advertising standards.
  * Obtain necessary approvals if required.
#### 3. Production
* **Material Selection:тАЛ**
  * Choose the appropriate materials for billboard printing (e.g., vinyl, fabric).
  * Ensure the materials are weather-resistant and durable.
* **Printing and Quality Check:тАЛ**
  * Select a reputable printing company.
  * Review and approve final proofs before printing.
  * Conduct a quality check on the printed billboard to ensure it meets specifications.
#### 4. Installation
* **Coordination:тАЛ**
  * Schedule installation dates and times with the billboard company.
  * Ensure all necessary permits and approvals are in place.
* **Installation Supervision:тАЛ**
  * Oversee the installation process to ensure it is done correctly.
  * Verify the billboard is positioned as planned and is clearly visible.
#### 5. Launch and Monitoring
* **Campaign Launch:тАЛ**
  * Announce the campaign launch through your other marketing channels (e.g., social media, email).
  * Take photos of the installed billboard for record-keeping and additional marketing.
* **Ongoing Monitoring:тАЛ**
  * Regularly check the condition of the billboard to ensure it remains in good shape.
  * Monitor the campaignтАЩs performance using the predefined KPIs.
  * Track any changes in sales, website traffic, or other relevant metrics.
#### 6. Post-Campaign Evaluation
* **Performance Analysis:тАЛ**
  * Collect data and analyze the campaignтАЩs effectiveness.
  * Compare the results against your initial objectives and KPIs.
* **Feedback and Reporting:тАЛ**
  * Gather feedback from stakeholders and customers.
  * Prepare a comprehensive report summarizing the campaignтАЩs performance, successes, and areas for improvement.
* **Future Planning:тАЛ**
  * Use insights gained from the campaign to inform future billboard marketing strategies.
  * Adjust budget allocations and creative approaches based on the findings.
### Example Timeline for a Billboard Marketing Campaign
**Two Months Before Launch:тАЛ**
* Define objectives and set budget.
* Research and select billboard locations.
* Develop message and design.
**One Month Before Launch:тАЛ**
* Finalize design and obtain necessary approvals.
* Select printing company and start production.
**Two Weeks Before Launch:тАЛ**
* Schedule and coordinate installation.
* Approve final printed billboard.
**Launch Week:тАЛ**
* Announce campaign launch.
* Ensure billboard is installed correctly.
**During Campaign:тАЛ**
* Monitor the condition of the billboard.
* Track performance using KPIs.
**Post-Campaign:тАЛ**
* Analyze performance data.
* Prepare and share campaign report.
* Plan future campaigns based on insights.",Corey La Russo,Phase 1,Brand Awareness,Marketing and PR,Q3,7/1/2024,8/11/2024,"$50,000.00",$0.00
Begin Production TV,"##### **Image**
* [ ] Secure various network cross promotion
- [x] Spokes Person
**Andrew**
* [x] Color Scheme Look of App
**Simalar to fligolf.com schema**
* [x] Fonts choose 3
тАЛ
**Inter**:
* **Style**: Sans-serif
* **Why**: Inter is a modern, highly legible font with a clean and minimalistic look. It's optimized for web and mobile interfaces, making it a great choice for projects focused on clarity and readability.
тАЛ
**Lora**:
* **Style**: Serif
* **Why**: Lora is a well-balanced serif font that offers both a contemporary feel and a touch of elegance. It works beautifully for text-heavy content, giving your project a sophisticated and classic appearance.
**Poppins**:
* **Style**: Geometric Sans-serif
* **Why**: Poppins is a geometric sans-serif font with a clean and modern aesthetic. Its strong and rounded forms make it versatile for both headings and body text, adding a dynamic and friendly vibe to your design.
Director
тАЛ
* [ ] Coordinate with players, commentators, and crew.
- [ ] Trasportaion
* [ ] Driver
- [ ] Controller / CPA
* [ ] Equipment Manager","Mark Coleman, Jim Neely",Phase 1,Brand Awareness,"Production, Production",Q3,7/1/2024,8/16/2024,"$10,000.00",$0.00
Finalize current sponsor list and continue to close sponsors,,"Kimberly Martinez, Catapult",Phase 1,Managerial Tasks,"Sales, Sales",Q3,7/1/2024,8/13/2024,$0.00,$0.00
Begin any local registration obligations for live tournaments,"##### **Business License:тАЛ**
##### **Health and Safety Permits**
* [ ] Obtain permits related to food and beverage if they will be provided at the event.
- [ ] Ensure compliance with health and safety standards, including first aid arrangements.
**Secure Insurance**
* [ ] Purchase liability insurance to cover any potential accidents or damages during the tournament.
- [ ] Consider additional coverage such as weather insurance if the event is outdoors.
  **Accessibility**
* [ ] Ensure the venue is accessible to all participants, including those with disabilities.","Publicist, Product Dev Team, Corey La Russo, Andrew Panza",Phase 1,Company Growth,"Publicist, Product Development, Marketing and PR, Operations",Q3,7/1/2024,9/26/2024,$0.00,$0.00
Begin local business and college outreach,"##### **Use a list**
* [ ] Tier A
- [ ] Tier B","Corey La Russo, Andrew Panza",Phase 1,Company Growth,"Marketing and PR, Operations",Q3,7/1/2024,9/16/2024,"$5,000.00",$0.00
Begin conversations with Vetnos,##### **Get a list of things we need to provide?тАЛ**,"Dustin Dinsmore, Kimberly Martinez",Phase 1,App,"Technical, Sales",Q3,7/17/2024,8/14/2024,$0.00,$0.00
Secure North Cal. Headquarters,,Andrew Panza,Phase 1,Managerial Tasks,Operations,Q3,7/1/2024,8/6/2024,"$25,000.00",$0.00
Launch FLI Golf Brand Marketing,Set a target date,Publicist,Phase 1,Brand Awareness,Publicist,Q3,7/1/2024,7/31/2024,$0.00,$0.00
Appeal & Garb,Get samples,Julian Smart,Other,Increase Revenue,Product Development,Q3,7/1/2024,8/12/2024,"$1,000.00",$0.00
Continue network and streaming app negotiations with secured location,"* [ ] Soundboards
- [ ] Set Design
* [ ] Construction Crew
- [ ] Drone Operators
* [ ] Boom Operators","Mark Coleman, Jim Neely, Andrew Panza, Alexander Smart",Phase 1,Company Growth,"Production, Production, Operations, Finance",Q3,7/1/2024,8/19/2024,"$1,000.00",$0.00
Basket Plan,,Andrew Panza,Phase 2,Managerial Tasks,Operations,Q3,9/15/2024,11/15/2024,"$1,000.00",$0.00
Netting Company,"[https://www.usnetting.com/](https://www.usnetting.com/ ""https://www.usnetting.com/"")","Dustin Dinsmore, Andrew Panza",Phase 2,Managerial Tasks,"Technical, Operations",Q3,9/15/2024,11/15/2024,$600.00,$0.00
Landscape / Real Estate,,Andrew Panza,Phase 2,Managerial Tasks,Operations,Q3,9/15/2024,11/15/2024,"$1,000.00",$0.00
Turf Tee Box,,Andrew Panza,Phase 2,Managerial Tasks,Operations,Q3,9/15/2024,11/15/2024,"$1,000.00",$0.00
Office Locations,"##### **Office Locations**
* [ ] San Diego
- [x] Carlsbad
* [ ] Jamestown
- [ ] Warehouse",Andrew Panza,Phase 1,Company Growth,Operations,Q3,7/1/2024,7/31/2024,"$3,000.00",$0.00
Video Production Status,"* [ ] Script Manager
- [ ] Travel Planner for Talent
* [ ] Secure necessary permits for filming.
- [ ] Create a detailed production schedule, including setup, filming, and breakdown times.
##### **Final Review**
* [ ] Conduct a thorough review of the final broadcast to ensure quality
- [ ] Make any necessary adjustments before airing","Mark Coleman, Jim Neely",Phase 1,Brand Awareness,"Production, Production",Q3,7/1/2024,8/19/2024,"$1,000.00",$0.00
Advertising & Social Media,We have a specific workspace,"Corey La Russo, Julian Smart",Overall,Brand Awareness,"Marketing and PR, Product Development",Q3,7/1/2024,8/30/2024,$0.00,$0.00
"Trademarks, Copyrights status",,"Alexander Smart, Kimberly Martinez",Other,Legal Tasks,"Finance, Sales",Q3,7/1/2024,7/29/2024,"$5,000.00",$0.00
Begin local business and college outreach,"тАЛ
### Local Business Outreach
#### 1. Identify Target Businesses
* **Research Local Businesses:тАЛ**
  * Create a list of local businesses that align with your goals and audience.
  * Focus on businesses that would benefit from partnering with or sponsoring your event or campaign.
* **Categorize Businesses:тАЛ**
  * Group businesses by industry (e.g., retail, restaurants, fitness centers) for tailored outreach strategies.
#### 2. Develop Outreach Materials
* **Create a Pitch Deck:тАЛ**
  * Highlight the benefits of partnering with your organization.
  * Include details about your event or campaign, audience demographics, and potential ROI for the business.
* **Prepare Marketing Collateral:тАЛ**
  * Design brochures, flyers, and business cards to leave with potential partners.
  * Ensure all materials are branded and convey your message clearly.
#### 3. Initial Contact
* **Email Outreach:тАЛ**
  * Draft personalized emails to introduce your organization and propose a meeting.
  * Highlight potential benefits and suggest a few dates for a follow-up call or in-person meeting.
* **Phone Calls:тАЛ**
  * Follow up on emails with phone calls to schedule meetings.
  * Be prepared to discuss your proposal and answer any questions.
#### 4. Meetings and Presentations
* **Schedule Meetings:тАЛ**
  * Arrange in-person or virtual meetings with key decision-makers.
  * Prepare a tailored presentation for each business.
* **Present Your Proposal:тАЛ**
  * Highlight how the partnership can benefit the business.
  * Provide examples of successful past collaborations if available.
#### 5. Formalize Partnerships
* **Draft Agreements:тАЛ**
  * Prepare partnership agreements outlining the terms and benefits for both parties.
  * Include details on deliverables, timelines, and expectations.
* **Secure Commitments:тАЛ**
  * Obtain signed agreements and confirm the businessтАЩs participation.
  * Provide a timeline for deliverables and ongoing communication.
### College Outreach
#### 1. Identify Target Colleges
* **Research Local Colleges:тАЛ**
  * Create a list of local colleges and universities.
  * Identify relevant departments, clubs, and organizations that align with your goals.
* **Connect with Key Contacts:тАЛ**
  * Identify key contacts such as department heads, club leaders, and career services staff.
#### 2. Develop Outreach Materials
* **Create Informational Packets:тАЛ**
  * Develop packets that include information about your organization, event, or campaign.
  * Highlight opportunities for student involvement, internships, or sponsorship.
* **Prepare Presentations:тАЛ**
  * Design presentations tailored to different audiences within the college (e.g., students, faculty, administration).
#### 3. Initial Contact
* **Email Outreach:тАЛ**
  * Draft personalized emails to key contacts introducing your organization and proposing a meeting.
  * Suggest potential collaboration ideas and benefits for the college.
* **Phone Calls:тАЛ**
  * Follow up on emails with phone calls to schedule meetings.
  * Be prepared to discuss your proposal and answer any questions.
#### 4. Campus Visits and Presentations
* **Schedule Campus Visits:тАЛ**
  * Arrange visits to campuses to meet with key contacts and present your proposal.
  * Attend relevant campus events and fairs to network and promote your organization.
* **Present Your Proposal:тАЛ**
  * Highlight how the partnership can benefit the college and its students.
  * Provide examples of successful past collaborations if available.
#### 5. Formalize Partnerships
* **Draft Agreements:тАЛ**
  * Prepare partnership agreements outlining the terms and benefits for both parties.
  * Include details on deliverables, timelines, and expectations.
* **Secure Commitments:тАЛ**
  * Obtain signed agreements and confirm the collegeтАЩs participation.
  * Provide a timeline for deliverables and ongoing communication.
### Example Timeline for Outreach Program
**Month 1:тАЛ**
* Research and identify target businesses and colleges.
* Develop outreach materials (pitch deck, brochures, informational packets).
**Month 2:тАЛ**
* Initiate email and phone outreach to schedule meetings.
* Prepare tailored presentations for each meeting.
**Month 3:тАЛ**
* Conduct meetings and presentations.
* Draft and finalize partnership agreements.
**Month 4:тАЛ**
* Secure commitments and formalize partnerships.
* Begin planning and executing collaborative activities.
### Checklist for Local Business and College Outreach
**Local Business Outreach:тАЛ**
* Identify target businesses.
* Develop a pitch deck and marketing collateral.
* Draft and send personalized emails.
* Follow up with phone calls.
* Schedule and conduct meetings.
* Present your proposal.
* Draft partnership agreements.
* Secure commitments.
**College Outreach:тАЛ**
* Identify target colleges and key contacts.
* Develop informational packets and presentations.
* Draft and send personalized emails.
* Follow up with phone calls.
* Schedule campus visits and attend events.
* Present your proposal.
* Draft partnership agreements.
* Secure commitments.","Corey La Russo, Andrew Panza, Nate Panza",Phase 1,Company Growth,"Marketing and PR, Operations, Product Development",Q3,7/1/2024,9/25/2024,$0.00,$0.00
Onsite course development begins - Pro players/Influencers start to visit casino,,"Andrew Panza, Nate Panza",Phase 2,Managerial Tasks,"Operations, Product Development",Q3,9/15/2024,11/15/2024,"$100,000.00",$0.00
Sponsor onboarding continues,Update begining of year 2025,"Product Dev Team, Corey La Russo, Andrew Panza, Julian Smart, Kimberly Martinez, Nate Panza",Phase 2,Company Growth,"Product Development, Marketing and PR, Operations, Product Development, Sales, Product Development",Q3,9/15/2024,11/15/2024,$0.00,$0.00
Presale tickets begin,,Product Dev Team,Phase 2,Company Growth,Product Development,Q3,9/10/2024,11/10/2024,$0.00,"$10,000.00"
Player marketing begins,,Product Dev Team,Phase 2,Brand Awareness,Product Development,Q3,9/15/2024,11/15/2024,"$20,000.00",$0.00
FLI Golf begins players/influencer sponsorships,,Product Dev Team,Phase 2,Brand Awareness,Product Development,Q3,9/15/2024,11/15/2024,"$20,000.00",$0.00
Meetings with PDGA and DGPT complete,,Andrew Panza,Phase 2,Brand Awareness,Operations,Q3,9/15/2024,11/15/2024,$0.00,$0.00
FLI Golf/Chicken Ranch colab marketing begins,,Product Dev Team,Phase 2,Brand Awareness,Product Development,Q3,9/15/2024,11/15/2024,$0.00,$0.00
Finalize tournament partners (landscaping/turf/bleachers/transportationтАж etc),,Product Dev Team,Phase 2,Company Growth,Product Development,Q3,9/15/2024,11/15/2024,"$30,000.00",$0.00
Brand,"##### **Clothing**
* [ ] All apparel ready and approved
##### **Website**
* [ ] Shopping cart and webstore operational
##### **Teams**
* [ ] Merchendise Ready
##### **Partners**
* [ ] Chicken ranch",Publicist,Phase 3,Brand Awareness,Publicist,Q4,6/30/2024,8/7/2024,$0.00,$0.00
Optimize SEO,,Publicist,Phase 3,Brand Awareness,Publicist,Q4,6/30/2024,8/7/2024,"$10,000.00",$0.00
Course design is complete and buildout is completed,,Product Dev Team,Phase 3,Managerial Tasks,Product Development,Q4,11/15/2024,2/15/2025,"$30,000.00",$0.00
FLI Golf App is launched and fantasy leagues have begun to sign up,Tested and working prior to 2025,Dustin Dinsmore,Phase 3,App,Technical,Q4,11/15/2024,2/15/2025,$0.00,$0.00
All ticket sales are running,,Product Dev Team,Phase 3,Company Growth,Product Development,Q4,11/15/2024,2/15/2025,$0.00,"$10,000.00"
All marketing is active,,Product Dev Team,Phase 3,Company Growth,Product Development,Q4,11/15/2024,2/15/2025,"$150,000.00",$0.00
All tournament preparations have been made,,Product Dev Team,Phase 3,Company Growth,Product Development,Q4,11/15/2024,2/15/2025,"$30,000.00",$0.00
FLI Golf Management and Chicken Ranch finalize tournament agenda,,Product Dev Team,Phase 3,Managerial Tasks,Product Development,Q4,11/15/2024,2/15/2025,$0.00,$0.00
All players are signed to tournament contracts and obligations,,Product Dev Team,Phase 3,Managerial Tasks,Product Development,Q4,11/15/2024,2/15/2025,$0.00,$0.00
Marketing for Vetnos started and players begin signing up,,Dustin Dinsmore,Phase 3,App,Technical,Q4,11/15/2025,2/15/2025,$0.00,$0.00
Completed,,,,,,,,,9200,175000
Sacremento Meeting,,Gary Santos,,Increase Revenue,Consultant,Q1,2/29/2024,3/7/2024,"$9,000.00",$0.00
Title Sponsor Meetings,,"Gary Santos, Andrew Panza",,Company Growth,"Consultant, Operations",Q1,7/1/2024,7/16/2024,$0.00,$0.00
Funding,,,,,,Q1,1/9/2024,1/30/2024,$0.00,"$175,000.00"
3 - 5 Sponsors Signed,,"Catapult, Gary Santos",,Revenue,"Sales, Consultant",Q1,4/12/2024,5/10/2024,$0.00,$0.00
Title Sponsor Advanced Recap,,Gary Santos,,Revenue,Consultant,Q1,4/3/2024,6/2/2024,$0.00,$0.00
Purchase of new shares,,Alexander Smart,,Company Growth,Finance,Q2,7/1/2024,8/8/2024,$0.00,$0.00
Secure Attorney file date,,Alexander Smart,,Legal Tasks,Finance,Q2,2/5/2024,2/29/2024,$0.00,$0.00
Remaining stock selling,,Alexander Smart,,Increase Revenue,Finance,Q2,2/5/2024,2/29/2024,$0.00,$0.00
Food Truck,,Andrew Panza,,Managerial Tasks,Operations,Q2,7/1/2024,7/16/2024,$200.00,$0.00
Sunday Golf Meeting,"##### **Set a meeting date**
* [ ] yes
- [ ] no",Andrew Panza,Other,Brand Awareness,Operations,Q3,8/6/2024,9/10/2024,$0.00,$0.00